Node: 619, visit time: 1, predecessor : NULL
Node: 620, visit time: 1, predecessor : NULL
Node: 621, visit time: 1, predecessor : NULL
Node: 622, visit time: 1, predecessor : NULL
Node: 623, visit time: 1, predecessor : NULL
Node: 624, visit time: 1, predecessor : NULL
Node: 625, visit time: 1, predecessor : NULL
Node: 626, visit time: 1, predecessor : NULL
Node: 627, visit time: 1, predecessor : NULL
Node: 628, visit time: 1, predecessor : NULL
Node: 629, visit time: 1, predecessor : NULL
Node: 630, visit time: 1, predecessor : NULL
Node: 631, visit time: 1, predecessor : NULL
Node: 632, visit time: 1, predecessor : NULL
Node: 633, visit time: 1, predecessor : NULL
Node: 634, visit time: 1, predecessor : NULL
Node: 635, visit time: 1, predecessor : NULL
